,user-screen_name,text,user-location,lang,retweet_count,created_at,hashtags,SocialEmotionalLearning,STEMeducation,EnglishLanguageDevelopment,ESSER,k12
102,mcebrianster,"What’s this you’re hearing about social reading? Get the scoop on this pedagogical tool that helps #K12 students succeed by making reading active, visible, &amp; social. Join us for “K12 Intro to Social Annotation” on 13 July at 11:15am PT.  https://t.co/O19pHK1yei
#K12 #EdChat https://t.co/XdaRiy58B4",Europa,en,1.0,Tue Jul 06 13:44:55 +0000 2021,['K12'],False,False,False,False,True
103,princetonareacf,We are so thankful for your support @HZNFoundation!,"Lawrenceville, NJ",en,0.0,Tue Jul 06 13:45:00 +0000 2021,,False,False,False,False,False
104,BlackbaudHES,"@GivingUSA is the top resource for an in-depth look at charitable findings. Register for the upcoming webinar series from the #BlackbaudInstitute to learn about philanthropic trends tailored to #ArtsAndCulture, faith, #HigherEducation, and #K12.

Sign up: https://t.co/WPyYDBpdce https://t.co/8TJKgZDsCY","Charleston, SC",en,0.0,Tue Jul 06 13:45:01 +0000 2021,,False,False,False,False,True
105,EdSurge,"Teachers around the country gave an unusual assignment to their students that goes like this: Think of someone in a financial pinch, make a video about why the person deserves a boost, and then hand-deliver the person a check for $1,000. #k12 #givingback https://t.co/UwOzMr8xD2","Portland, OR",en,0.0,Tue Jul 06 13:45:01 +0000 2021,,False,False,False,False,True
106,Jocelyn_McCarty,"Do you want to learn more about #brains, #behavior, &amp; supporting #K12 students w/ significant behavior needs? Check out this new graduate certificate program offered by @UMDCollegeofEd in partnership w/ @KennedyKrieger -learn from behavioral psychologists &amp; neuropsychologists!","Baltimore, MD",en,1.0,Tue Jul 06 13:45:04 +0000 2021,"['brains', 'behavior', 'K12']",False,False,False,False,True
107,SussexResearchr,"Head of @SussexPsych Prof Robin Banerjee will deliver the #SussexDocFest keynote on Thurs 8 July, discussing kindness and wellbeing in the context of research cultures.

We're excited to open this to other institutions in the south east 🙌Register now https://t.co/mHdTaLefFs https://t.co/epY7N5UBgF","University of Sussex, England",en,4.0,Tue Jul 06 13:45:22 +0000 2021,['SussexDocFest'],False,False,False,False,False
108,KilleenISD_HR,"If you're looking for work in Killeen, TX, check out this job: https://t.co/iCgP0USkkF #K12 #Education","Killeen, Texas",en,0.0,Tue Jul 06 13:45:25 +0000 2021,"['K12', 'Education']",False,False,False,False,True
109,daveandcori,"Whether you work with #K12 students or enterprise users, they can all be hard on devices. Spread some device love with these care tips.😍 #cdwsocial https://t.co/VIKSnpVwun https://t.co/WcK9BDUJB0","Connecticut, USA",en,0.0,Tue Jul 06 13:46:28 +0000 2021,['K12'],False,False,False,False,True
110,Wellzy95nufc,@OliverDowden How is the Premier League getting away with a complete lack of transparency over the #nufctakeover yet you got involved for over the #ESL,Newcastle,en,0.0,Tue Jul 06 13:47:00 +0000 2021,['nufctakeover'],False,False,True,False,False
113,DruTomlin4Edu,"Punk Rock Classrooms Brings Passion, Unity &amp; Do-It-Yourself Mindset To Education https://t.co/KIKtfHyN2z via @Getting_Smart @mwniehoff #education #SEL #educhat","Westerville, OH",en,2.0,Tue Jul 06 13:48:28 +0000 2021,,True,False,False,False,False
